storm_id,name,year,peak_wind_near_sanibel
AL031935,UNNAMED,1935,145
AL092022,IAN,2022,140
AL032004,CHARLEY,2004,130
AL081948,UNNAMED,1948,115
AL041992,ANDREW,1992,115
AL051960,DONNA,1960,115
AL252005,WILMA,2005,105
AL142024,MILTON,2024,105
AL051910,UNNAMED,1910,105
AL071926,UNNAMED,1926,105
AL051873,UNNAMED,1873,100
AL091945,UNNAMED,1945,100
AL041928,UNNAMED,1928,100
AL112017,IRMA,2017,100
AL031965,BETSY,1965,100
AL131944,UNNAMED,1944,100
AL111964,ISBELL,1964,95
AL011966,ALMA,1966,90
AL101924,UNNAMED,1924,90
AL051876,UNNAMED,1876,90
AL021929,UNNAMED,1929,90
AL071865,UNNAMED,1865,90
AL041947,UNNAMED,1947,90
AL041894,UNNAMED,1894,90
AL021949,UNNAMED,1949,85
AL051950,EASY,1950,85
AL031888,UNNAMED,1888,85
AL091870,UNNAMED,1870,80
AL111950,KING,1950,80
AL091947,UNNAMED,1947,80
AL081859,UNNAMED,1859,80
AL112004,JEANNE,2004,75
AL122005,KATRINA,2005,75
AL051941,UNNAMED,1941,75
AL061946,UNNAMED,1946,75
AL121953,HAZEL,1953,75
AL041886,UNNAMED,1886,70
AL071935,UNNAMED,1935,70
AL052021,ELSA,2021,65
AL111933,UNNAMED,1933,65
AL021928,UNNAMED,1928,60
AL062004,FRANCES,2004,60
AL062008,FAY,2008,60
AL082001,GABRIELLE,2001,60
AL031858,UNNAMED,1858,60
AL081861,UNNAMED,1861,60
AL031903,UNNAMED,1903,60
AL031897,UNNAMED,1897,60
AL121988,KEITH,1988,55
AL072018,GORDON,2018,55
AL011968,ABBY,1968,55
AL041925,UNNAMED,1925,55
AL111959,JUDITH,1959,55
AL051936,UNNAMED,1936,55
AL151990,MARCO,1990,55
AL111956,UNNAMED,1956,55
AL091951,HOW,1951,55
AL021899,UNNAMED,1899,55
AL131998,MITCH,1998,55
AL031932,UNNAMED,1932,55
AL062017,EMILY,2017,50
AL061947,UNNAMED,1947,50
AL041901,UNNAMED,1901,50
AL051896,UNNAMED,1896,50
AL021939,UNNAMED,1939,50
AL051878,UNNAMED,1878,50
AL101999,HARVEY,1999,50
AL041904,UNNAMED,1904,50
AL031891,UNNAMED,1891,50
AL041873,UNNAMED,1873,50
AL151984,ISIDORE,1984,45
AL121994,GORDON,1994,45
AL091892,UNNAMED,1892,45
AL071891,UNNAMED,1891,45
AL192020,SALLY,2020,45
AL051933,UNNAMED,1933,45
AL121966,UNNAMED,1966,40
AL241969,JENNY,1969,40
AL011878,UNNAMED,1878,40
AL022007,BARRY,2007,40
AL021985,BOB,1985,40
AL021930,UNNAMED,1930,40
AL071859,UNNAMED,1859,40
AL011936,UNNAMED,1936,40
AL011916,UNNAMED,1916,40
AL011892,UNNAMED,1892,40
AL061895,UNNAMED,1895,35
AL101981,DENNIS,1981,35
AL021911,UNNAMED,1911,35
AL051888,UNNAMED,1888,35
AL021907,UNNAMED,1907,35
AL012022,ALEX,2022,35
AL031909,UNNAMED,1909,35
AL062006,ERNESTO,2006,35
AL082003,ERIKA,2003,35
AL081976,DOTTIE,1976,35
AL071916,UNNAMED,1916,35
AL081909,UNNAMED,1909,35
AL081891,UNNAMED,1891,35
AL071945,UNNAMED,1945,35
AL131968,UNNAMED,1968,30
AL011898,UNNAMED,1898,30
AL021953,UNNAMED,1953,30
AL021954,UNNAMED,1954,30
AL171980,UNNAMED,1980,30
AL032010,BONNIE,2010,30
AL081906,UNNAMED,1906,30
AL071960,FLORENCE,1960,30
AL042009,CLAUDETTE,2009,30
AL101909,UNNAMED,1909,30
AL051921,UNNAMED,1921,30
AL092004,IVAN,2004,25
AL011982,ALBERTO,1982,25
AL061968,UNNAMED,1968,25
AL171984,UNNAMED,1984,25
AL052010,FIVE,2010,25
AL051953,UNNAMED,1953,25
AL071971,UNNAMED,1971,25
AL141987,UNNAMED,1987,25
AL101971,UNNAMED,1971,25
AL041983,BARRY,1983,25
AL021968,BRENDA,1968,25
AL011991,ANA,1991,20
AL031976,UNNAMED,1976,20
AL021978,UNNAMED,1978,-99
